RSSI;ID;COUNT;TIMER;Vbat;Text;Tint;Ax;Ay;Az;Atot;Atot_mps;Gx;Gy;Gz;Mx;My;Mz;Mtot;Roll;Pitch;Heading;Pressure;Height;Vertical_velocity;Vertical_accelration;Vertical_acc_g;Non_grav_force
-81;TRIDENT;1087;499.24;4.06;34.05;38.15;0.03;1.4;0.53;1.5;14.715;-11.1;116.92;250.13;-139.59;71.22;-307.22;344.89;-41.04;12.88;241.77;93.09;733.584599;-8.985246277;-0.18259196;-0.01861284;9.851996151
-78;TRIDENT;1088;499.7;4.06;33.95;38.15;0;1.38;0.48;1.46;14.3226;-75.82;209.95;250.13;-108.56;77.37;-292.68;321.61;-39.39;22.31;247.26;93.12;730.4951044;-6.716292779;4.932507604;0.502804037;8.675523251
-77;TRIDENT;1089;500.16;4.06;33.83;38.15;-0.01;1.31;0.46;1.39;13.6359;-90.96;174.02;250.13;-136.89;85.32;-311.12;350.45;-40.26;33.91;251.27;93.16;726.4113731;-8.877676696;-4.69866069;-0.478966431;10.89069196
-70;TRIDENT;1090;500.62;4.06;33.74;38.15;-0.06;1.48;0.51;1.56;15.3036;-193.24;124.93;250.13;-115.3;74.82;-293.13;323.76;-40.67;45.42;255.93;93.2;722.4025496;-8.714833541;0.354006859;0.036086326;9.728578423
-69;TRIDENT;1091;501.08;4.06;33.64;38.15;0.01;1.38;0.54;1.48;14.5188;-90.87;51.79;250.13;-127.15;94.16;-307.67;345.97;-44.83;56.6;261.64;93.24;718.3738554;-8.75803092;-0.093907344;-0.009572614;9.831598689
-69;TRIDENT;1092;501.53;4.06;33.54;38.14;0.03;1.24;0.43;1.31;12.8511;-43.28;216.32;250.13;-117.25;56.08;-295.98;323.26;-38.19;66.08;272.85;93.28;714.3489512;-8.944231511;-0.413779092;-0.042179316;9.905169191
-70;TRIDENT;1093;501.99;4.06;33.44;38.15;0;1.34;0.44;1.41;13.8321;-82.27;250.13;250.13;-128.05;99.26;-311.87;351.44;-24.47;78.14;288.44;93.32;710.3278348;-8.741557493;0.440595691;0.044912914;9.708662991
-67;TRIDENT;1094;502.45;4.06;33.32;38.16;-0.08;1.3;0.42;1.36;13.3416;-180.15;163.08;236.78;-120.85;75.27;-296.58;328.98;80.84;84.89;37.5;93.36;706.2644135;-8.83352457;-0.199928427;-0.020380064;9.855983538
-68;TRIDENT;1095;502.91;4.06;33.27;38.15;-0.02;1.24;0.47;1.32;12.9492;-112.56;127.63;250.13;-117.85;99.26;-308.57;344.91;106.04;74.14;70.19;93.39;703.3114646;-6.419454176;5.247979115;0.534962193;8.602964803
-71;TRIDENT;1096;503.37;4.06;33.15;38.16;-0.03;1.38;0.47;1.46;14.3226;-101.63;235.65;154;234.35;62.67;-302.88;337.21;104.5;63.12;73.21;93.43;695.3164018;-17.38057126;-23.82851539;-2.429002589;15.29055854
